"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1796098592337199274","Thu May 30 08:37:30 +0000 2024","2","#MBKMKKP merupakan kegiatan belajar mengajar tdk hanya terlaksana di kampus/ruang kelas namun jg terlaksana melalui kegiatan praktik di UPT lingkup @kkpgoid #BPPSDMKP &amp; Mitra DU/DI serta memberikan pengalaman nyata bekerja di lokasi-lokasi Program Prioritas KKP #2024KKPBeyond","1796098599572439083","","bppsdm_kp","in","GMB III Lt 5,6,7 KKP Jakarta","0","1","1","https://x.com/bppsdm_kp/status/1796098599572439083","829868187625730048","bppsdm_kp"
"1796085875715006708","Thu May 30 07:46:57 +0000 2024","0","bingung anjay daftar kampus mengajar gak ya","1796085875715006708","","","in","","0","0","0","https://x.com/uurrmars/status/1796085875715006708","1791319105179668480","uurrmars"
"1796080173546160617","Thu May 30 07:24:17 +0000 2024","0","[cm] PLISSSS NOTICE SENDER!!! sender semester 4 PGSD ditawari dosen ikut program kampus mengajar kira-kira program itu bagus ga? mending ambil tawarannya atau engga? https://t.co/qUquzOUlee","1796080173546160617","https://pbs.twimg.com/media/GOz1ZgtaMAAvAyY.jpg","","in","","0","9","0","https://x.com/collegemenfess/status/1796080173546160617","1046084008742801408","collegemenfess"
"1796072777004281961","Thu May 30 06:54:54 +0000 2024","0","sebel mau konsul buat kampus mengajar malah dipersulit dosen PA","1796072777004281961","","","in","","0","0","0","https://x.com/xixixiitaaaaq/status/1796072777004281961","1396818646408650759","xixixiitaaaaq"
"1796050352841646108","Thu May 30 06:28:37 +0000 2024","0","@hcnlatte @SMTOWNGLOBAL @SMTOWN_Idn @NCTsmtown setau aku kampus mengajar ituuu kamuu bantuu kesekolah ke sd smp atau sma gtuuu bantu proses belajarr mengajarr bantu proses administrasi sekolah jugaaa setau aku yaa ituuuu soalnya aku ikut nya msib","1796066163903922269","","hcnlatte","in","she/her 02 homophobic dni!","0","1","0","https://x.com/citaelatte_/status/1796066163903922269","1107653867313889280","citaelatte_"
"1796063319385625028","Thu May 30 06:17:19 +0000 2024","0","NANGIS BANGETTT PENGEN IKUT KAMPUS MENGAJAR TAPI DI BATASIN KUOTA NYA SAMA PRODI KAMPUS","1796063319385625028","","","in","","0","0","0","https://x.com/cocopie____/status/1796063319385625028","1445633474812006405","cocopie____"
"1796042496729915890","Thu May 30 04:54:34 +0000 2024","1"," sender mau ikut program kampus merdeka kayak kampus mengajar atau msib semester depan ini tapi BPJS keluarga sender udah 8 tahun gak aktif dan gak mampu buat aktifin lagi. Sedangkan syarat utama nya itu harus punya asuransi kesehatan lain atau BPJS. Tolong kasih (cont..)","1796042496729915890","","","in","","0","3","0","https://x.com/convomfs/status/1796042496729915890","1284061445148209154","convomfs"
"1796017069340684742","Thu May 30 03:23:32 +0000 2024","0"," ada atau ga adanya kampus mengajar di sekolah ini ga ada pengaruh apa-apa omongan kepsek waktu kami disidang. WKWKW SIAP DEH KEPSEK. terus kenapa tetiba nyuruh kami keluarin dana buat ngehias perpisahan","1796019588448051543","","tiramisugirl0","in","dream","0","1","0","https://x.com/tiramisugirl0/status/1796019588448051543","1256636023506964480","tiramisugirl0"
"1796017069340684742","Thu May 30 03:17:59 +0000 2024","0","kelas ga ada guru dan kami gatau/lagi ngerjain program kerja yang disalahin malah kami. BANGSAT. kampus mengajar ke sana buat program kerja kocak! bukan buat full ngajar dan jadi babu sekolah. TOLOL BANGET DAH LO WINDA","1796018190553895088","","tiramisugirl0","in","dream","0","1","0","https://x.com/tiramisugirl0/status/1796018190553895088","1256636023506964480","tiramisugirl0"
"1796017069340684742","Thu May 30 03:13:33 +0000 2024","0","sumpah kampus mengajar sama sekali ga dihargai di sana. adanya kami cuma dimanfaatin doang untuk disuruh2 wkwk kocak. apa2 juga pake dana kami yang bukan program kerja kami malah kami yang disuruh keluarkan dana. WKWKW MISKIN BANGET COK.","1796017075749622066","","tiramisugirl0","in","dream","0","1","0","https://x.com/tiramisugirl0/status/1796017075749622066","1256636023506964480","tiramisugirl0"
