"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1796110030267183449","Thu May 30 09:22:55 +0000 2024","0","[INFO MAGANG : PROGRAM KAMPUS MENGAJAR ANGKATAN 8] Halo Fisikawan Hebat Kesma kembali lagi dengan update info magang nih! https://t.co/X5zXgniu5g","1796110030267183449","https://pbs.twimg.com/media/GO0QjJmbMAEVlew.jpg","","in","Semarang","0","1","0","https://x.com/hmfundip/status/1796110030267183449","1175278692","hmfundip"
"1796107099904098470","Thu May 30 09:11:17 +0000 2024","0","tolol bat anj malah daftar kampus mengajar https://t.co/PJXdoRFEvB","1796107099904098470","https://pbs.twimg.com/media/GO0N4nGbUAAnRzv.jpg","","in","","0","3","0","https://x.com/nscrytll/status/1796107099904098470","1546528348901634049","nscrytll"
"1796104412391219652","Thu May 30 09:00:36 +0000 2024","0","#MBKMKKP merupakan kegiatan belajar mengajar tdk hanya terlaksana di kampus/ruang kelas namun jg terlaksana melalui kegiatan praktik di UPT lingkup @kkpgoid #BPPSDMKP &amp; Mitra DU/DI serta memberikan pengalaman nyata bekerja di lokasi-lokasi Program Prioritas KKP #2024KKPBeyond","1796104412391219652","","","in","Bone, Sulawesi Selatan","0","0","0","https://x.com/POLTEK_BONE/status/1796104412391219652","791278195693674496","POLTEK_BONE"
"1796103627519480182","Thu May 30 08:57:29 +0000 2024","1","mending ikut msib atau kampus mengajar ya? Kampus mengajar kerja serius gaji bercanda. Msib magang serius gajinya lumayan wkwk","1796103627519480182","","","in","","0","1","0","https://x.com/camerionnebula/status/1796103627519480182","1459366091394666503","camerionnebula"
"1796103144629588347","Thu May 30 08:55:34 +0000 2024","0","#MBKMKKP merupakan kegiatan belajar mengajar tdk hanya terlaksana di kampus/ruang kelas namun jg terlaksana melalui kegiatan praktik di UPT lingkup @kkpgoid #BPPSDMKP &amp; Mitra DU/DI serta memberikan pengalaman nyata bekerja di lokasi-lokasi Program Prioritas KKP #2024KKPBeyond","1796103144629588347","","","in","Jakarta","0","0","0","https://x.com/bppsdm_bbrsekp/status/1796103144629588347","712496032375050242","bppsdm_bbrsekp"
"1796098592337199274","Thu May 30 08:37:30 +0000 2024","1","#MBKMKKP merupakan kegiatan belajar mengajar tdk hanya terlaksana di kampus/ruang kelas namun jg terlaksana melalui kegiatan praktik di UPT lingkup @kkpgoid #BPPSDMKP &amp; Mitra DU/DI serta memberikan pengalaman nyata bekerja di lokasi-lokasi Program Prioritas KKP #2024KKPBeyond","1796098599572439083","","bppsdm_kp","in","GMB III Lt 5,6,7 KKP Jakarta","0","1","1","https://x.com/bppsdm_kp/status/1796098599572439083","829868187625730048","bppsdm_kp"
"1796085875715006708","Thu May 30 07:46:57 +0000 2024","0","bingung anjay daftar kampus mengajar gak ya","1796085875715006708","","","in","","0","0","0","https://x.com/uurrmars/status/1796085875715006708","1791319105179668480","uurrmars"
"1796080173546160617","Thu May 30 07:24:17 +0000 2024","0","[cm] PLISSSS NOTICE SENDER!!! sender semester 4 PGSD ditawari dosen ikut program kampus mengajar kira-kira program itu bagus ga? mending ambil tawarannya atau engga? https://t.co/qUquzOUlee","1796080173546160617","https://pbs.twimg.com/media/GOz1ZgtaMAAvAyY.jpg","","in","","0","9","0","https://x.com/collegemenfess/status/1796080173546160617","1046084008742801408","collegemenfess"
"1796072777004281961","Thu May 30 06:54:54 +0000 2024","0","sebel mau konsul buat kampus mengajar malah dipersulit dosen PA","1796072777004281961","","","in","","0","0","0","https://x.com/xixixiitaaaaq/status/1796072777004281961","1396818646408650759","xixixiitaaaaq"
"1796050352841646108","Thu May 30 06:28:37 +0000 2024","0","@hcnlatte @SMTOWNGLOBAL @SMTOWN_Idn @NCTsmtown setau aku kampus mengajar ituuu kamuu bantuu kesekolah ke sd smp atau sma gtuuu bantu proses belajarr mengajarr bantu proses administrasi sekolah jugaaa setau aku yaa ituuuu soalnya aku ikut nya msib","1796066163903922269","","hcnlatte","in","she/her 02 homophobic dni!","0","1","0","https://x.com/citaelatte_/status/1796066163903922269","1107653867313889280","citaelatte_"
