"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1796363407270244818","Fri May 31 02:09:45 +0000 2024","0","#MBKMKKP merupakan kegiatan belajar mengajar tdk hanya terlaksana di kampus/ruang kelas namun jg terlaksana melalui kegiatan praktik di UPT lingkup @kkpgoid #BPPSDMKP &amp; Mitra DU/DI serta memberikan pengalaman nyata bekerja di lokasi-lokasi Program Prioritas KKP #2024KKPBeyond","1796363407270244818","","","in","Kota Dumai, Riau","0","0","0","https://x.com/poltekkpdumai/status/1796363407270244818","958883424059535360","poltekkpdumai"
"1796358332636418273","Fri May 31 01:49:35 +0000 2024","0","Kaget bgt tetangga yg ga dkt bgt tbtb nanya ke gua yg lg duduk didepan rmh ga ngajar neng gua kaget sendiri gua ngangur tp gua jwb iya ga kan emang kga ngajar bnr dong cma grgr dlu pernah ikutan kampus mengajar trs jg gua ngajar les privat malah mrka mikir gua ini ngajar","1796358332636418273","","","in","Indonesia","0","0","0","https://x.com/konnady/status/1796358332636418273","1225056916344205312","konnady"
"1796356112201236965","Fri May 31 01:40:46 +0000 2024","0","Ikut kampus mengajar better semester 5 apa 6 gengs?","1796356112201236965","","","in","","0","0","0","https://x.com/10Cottoncandy/status/1796356112201236965","1481388159925878784","10Cottoncandy"
"1796343279841312774","Fri May 31 00:49:48 +0000 2024","0","#MBKMKKP merupakan kegiatan belajar mengajar yang tidak hanya terlaksana di kampus/ruang kelas namun juga melalui kegiatan praktik di UPT lingkup @kkpgoid #BPPSDMKP &amp; Mitra DU/DI serta memberikan pengalaman nyata bekerja di lokasi-lokasi Program Prioritas KKP #2024KKPBeyond","1796343286002819174","","BrsdmT","in","Tegal, Jawa Tengah","0","1","0","https://x.com/BrsdmT/status/1796343286002819174","867356782514978816","BrsdmT"
"1796317704418451861","Thu May 30 23:21:23 +0000 2024","0","@convomfs Hadeh gw pernah berpikir kuliah dimanapun sama tergantung kita belajar nya Itu salah besar pilihan tempat kuliah yg bagus menentukan kualitas cara belajar mengajar nya. Bahkan gw menyesal pilih kampus murah abal-abal","1796321033236197520","","convomfs","in","","0","0","0","https://x.com/Kopilatteku/status/1796321033236197520","1795804057430540288","Kopilatteku"
"1796091133019169104","Thu May 30 23:16:25 +0000 2024","0","@harangeppakuu wihh mau ikut kampus mengajar?","1796319783438418278","","harangeppakuu","in","BE","0","0","0","https://x.com/pangerann___/status/1796319783438418278","1530750360981471232","pangerann___"
"1796296148707328064","Thu May 30 21:42:31 +0000 2024","0","#MBKMKKP merupakan kegiatan belajar mengajar tdk hanya terlaksana di kampus/ruang kelas namun jg terlaksana melalui kegiatan praktik di UPT lingkup @kkpgoid #BPPSDMKP &amp; Mitra DU/DI serta memberikan pengalaman nyata bekerja di lokasi-lokasi Program Prioritas KKP #2024KKPBeyond","1796296153107194116","","PKBLU_bp3tegal","in","Kota Tegal, Jawa Tengah","0","1","0","https://x.com/PKBLU_bp3tegal/status/1796296153107194116","2997696818","PKBLU_bp3tegal"
"1796205540315726325","Thu May 30 15:42:27 +0000 2024","0","aku udah cape bener hariini dengan banyak kegiatan kampus dr matkul tugas daftat beasiswa kampus mengajar pulang masih ngerjain proposal zoom sampai malem tau2 dpt kabar dia ngrokok lagi aku nyerah bangett sumpah ga ada harapan untuk hidup lagi kalau emang umurku sampai segini..","1796205540315726325","","","in","","0","2","0","https://x.com/HeraRossiy34676/status/1796205540315726325","1689270424012554241","HeraRossiy34676"
"1796205383675252964","Thu May 30 15:41:50 +0000 2024","0","kampus merdeka/kampus mengajar ini ada aja yaaa gebrakannya. aku cuma mau lulus cepet aja ya Allah.","1796205383675252964","","","in","shipper kaum nabi luth dni.","0","0","0","https://x.com/s00inluv/status/1796205383675252964","1306971743500685313","s00inluv"
"1796194153933541771","Thu May 30 14:57:12 +0000 2024","0","mending daftar msib atau kampus mengajar ya??","1796194153933541771","","","in","MJ | PA. MDNI -15/+25 📚","0","0","0","https://x.com/hiekiddos/status/1796194153933541771","1284060793164582918","hiekiddos"
"1796158370514448577","Thu May 30 14:25:12 +0000 2024","0","@velayoura Pernah pas MTs itu aku memang diantar jemput bapak ke sekolah selama 1.5 tahun pas udh jd mahasiswa bahkan diantar ke sekolah tempat kampus mengajar yg rutenya harus melewati dua kabupaten https://t.co/ZZer4bHoJV","1796186101335429484","https://pbs.twimg.com/media/GO1VvSTWEAI8l3K.jpg","velayoura","in","","0","1","0","https://x.com/anin_june/status/1796186101335429484","1525488634644025344","anin_june"
"1753302670931361903","Thu May 30 14:08:21 +0000 2024","0","@Matriariyanto @collegemenfess hai sorry mau tanyaa kamu ikut kampus mengajar batch 7 kah?","1796181860071968866","","Matriariyanto","in","","0","0","0","https://x.com/uurrmars/status/1796181860071968866","1791319105179668480","uurrmars"
"1796172289349701905","Thu May 30 13:30:19 +0000 2024","0","Work! ada loker di kantor akuu!! Kita mencari lulusan IT pendidikan komputer dan fotografi untuk mengajar di sekolah swasta daerah cikeas bogor. Bagi yang berminat silahkan rep pengalaman dan asal kampus yaa nanti beberapa akan aku dm untuk kirim CV. Terima kasih","1796172289349701905","","","in","AUTOBASE — ❌POST MANUAL❌","0","1","0","https://x.com/worksfess/status/1796172289349701905","1244597361826885636","worksfess"
"1796169742958391389","Thu May 30 13:20:12 +0000 2024","0","kegiatan Nala semester 5 (so far): - Kampus Mengajar - SPV Mabim - Asesor Osfak","1796169742958391389","","","in","dnf/dnr","0","0","0","https://x.com/folkvloree/status/1796169742958391389","1457704389838209028","folkvloree"
"1796163632444870793","Thu May 30 12:57:49 +0000 2024","1","@kkpgoid @saktitrenggono @POLTEK_KARAWANG @in_radiarta #MBKMKKP merupakan kegiatan belajar mengajar tdk hanya terlaksana di kampus/ruang kelas namun jg terlaksana melalui kegiatan praktik di UPT lingkup @kkpgoid #BPPSDMKP &amp; Mitra DU/DI serta memberikan pengalaman nyata bekerja di lokasi-lokasi Program Prioritas KKP #2024KKPBeyond","1796164108489839095","","pusluh_bppsdm","in","","0","1","0","https://x.com/pusluh_bppsdm/status/1796164108489839095","1765183408278507520","pusluh_bppsdm"
"1796159916127764666","Thu May 30 12:41:11 +0000 2024","0","#MBKMKKP merupakan kegiatan belajar mengajar tdk hanya terlaksana di kampus/ruang kelas namun jg terlaksana melalui kegiatan praktik di UPT lingkup @kkpgoid #BPPSDMKP &amp; Mitra DU/DI serta memberikan pengalaman nyata bekerja di lokasi-lokasi Program Prioritas KKP #2024KKPBeyond","1796159923165745388","","pusdikkp","in","Ged. Minabahahari II Lt. 5","0","1","0","https://x.com/pusdikkp/status/1796159923165745388","1605816015044063233","pusdikkp"
"1796154419920224282","Thu May 30 12:19:19 +0000 2024","0","#MBKMKKP merupakan kegiatan belajar mengajar tdk hanya terlaksana di kampus/ruang kelas namun jg terlaksana melalui kegiatan praktik di UPT lingkup @kkpgoid #BPPSDMKP &amp; Mitra DU/DI serta memberikan pengalaman nyata bekerja di lokasi-lokasi Program Prioritas KKP #2024KKPBeyond","1796154419920224282","","","in","","0","0","0","https://x.com/PKPjembrana/status/1796154419920224282","924178642980048896","PKPjembrana"
"1796151924867100694","Thu May 30 12:09:24 +0000 2024","0","Gue pas kampus mengajar di panggil sama anak2 Kak Candu w tanya kok manggilnya Kak Candu? Soalnya suaranya bikin candu kak ","1796151924867100694","","","in","carpe diem","0","0","0","https://x.com/naiforger/status/1796151924867100694","3254241649","naiforger"
"1796150504135000559","Thu May 30 12:03:50 +0000 2024","0","#MBKMKKP merupakan kegiatan belajar mengajar tdk hanya terlaksana di kampus/ruang kelas namun jg terlaksana melalui kegiatan praktik di UPT lingkup @kkpgoid #BPPSDMKP &amp; Mitra DU/DI serta memberikan pengalaman nyata bekerja di lokasi-lokasi Program Prioritas KKP #2024KKPBeyond","1796150526138105909","","bppsdm_brpl","in","Jakarta, ID","0","1","0","https://x.com/bppsdm_brpl/status/1796150526138105909","1077156908811710472","bppsdm_brpl"
"1796150002449879322","Thu May 30 12:01:46 +0000 2024","0","#MBKMKKP merupakan kegiatan belajar mengajar tdk hanya terlaksana di kampus/ruang kelas namun jg terlaksana melalui kegiatan praktik di UPT lingkup @kkpgoid #BPPSDMKP &amp; Mitra DU/DI serta memberikan pengalaman nyata bekerja di lokasi-lokasi Program Prioritas KKP #2024KKPBeyond","1796150002449879322","","","in","Bali, Indonesia","0","0","0","https://x.com/bppsdm_lrpt/status/1796150002449879322","732741893876932608","bppsdm_lrpt"
"1796132480136937556","Thu May 30 10:52:08 +0000 2024","0","Mau tanya dong boleh ga ya kira2 daftar MSIB sama Kampus Mengajar dua2nya? atau harus pilih salah satu yaa rek! ?","1796132480136937556","","","in","Surabaya","0","2","0","https://x.com/unesa_fess/status/1796132480136937556","1650147576577134592","unesa_fess"
